id,label,kind,degree,roles
enc_encumbrance,Encumbrance,enc,34,aggregator|boundary_marker|tuning_point
enc_weight_allowance,Weight Allowance,enc,1,
ex_dungeon,Dungeon Setting,ex,2,
ex_falling,Falling Damage,ex,17,triggered_procedure
ex_light_vision,Vision,ex,16,gated_privilege|triggered_procedure
ex_mapping,Mapping,ex,11,
ex_movement_rate,Movement Rate,ex,65,boundary_marker|gated_privilege|resolution_machinery|tuning_point
ex_secret_doors,Secret Doors,ex,8,gated_privilege
ex_swimming,Swimming,ex,4,
exp_level,Experience Level,exp,275,aggregator|boundary_marker|gated_privilege|gatekeeper|modifier_source|override_source|resolution_machinery|tuning_point
exp_level_loss,Level Loss,exp,22,triggered_procedure
fatigue,Exhaustion,fatigue,11,time_sink
gen_dungeon_dressing,Dungeon Dressing,gen,2,
gen_dungeon_level,Dungeon Level,gen,7,
gen_lower_planes,Lower Planes Creature Generation,gen,7,
gen_monster_level_matrix,Monster Level Determination Matrix,gen,4,
gen_random_dungeon,Random Dungeon Generation,gen,19,trigger_source
gen_random_encounter,Random Encounters,gen,59,aggregator|gated_privilege|trigger_source|triggered_procedure
gen_wandering_monsters,Wandering Monster Check,gen,11,consumer|gated_privilege
gen_wilderness_terrain,Random Wilderness Terrain,gen,4,
hench_alchemist,Alchemist,hench,5,wealth_sink
hench_armorer,Armorer,hench,7,consumer|time_sink|wealth_sink
hench_betrayal,Betrayal,hench,5,
hench_blacksmith,Blacksmith,hench,6,wealth_sink
hench_cartographer,Cartographer,hench,3,wealth_sink
hench_desertion,Desertion,hench,3,
hench_engineer,Engineer,hench,9,gatekeeper|wealth_sink
hench_exceptional,Exceptional Henchmen,hench,3,
hench_experience,Henchman Experience,hench,5,
hench_expert_hirelings,Specialists,hench,6,gated_privilege|wealth_sink
hench_henchmen,Henchmen,hench,43,consumer|gated_privilege|tuning_point|wealth_sink
hench_hirelings,Hirelings,hench,13,wealth_sink
hench_jeweler,Jeweler-Gemcutter,hench,7,time_sink
hench_loyalty,Loyalty Base,hench,44,aggregator|gatekeeper|tuning_point
hench_max_number,Maximum Henchmen,hench,1,
hench_menial_hirelings,Menial Hirelings,hench,1,
hench_mercenary,Mercenary Soldier,hench,12,boundary_marker
hench_nonhuman_troops,Non-Human Troops,hench,17,gated_privilege|wealth_sink
hench_sage,Sage,hench,11,gatekeeper
hench_scribe,Scribe,hench,5,
hench_serjeant,Serjeant,hench,6,wealth_sink
hench_ship_crew,Ship Crew,hench,8,
hench_ship_master,Ship Master,hench,8,
hench_slinger,Slinger,hench,2,
hench_weaponer,Weapon Maker,hench,5,consumer|time_sink|wealth_sink
item_alchemy_jug,Alchemy Jug,item,4,
item_amulet_life,Amulet of Life Protection,item,5,boundary_marker
item_amulet_location,Amulet of Inescapable Location,item,4,
item_amulet_planes,Amulet of the Planes,item,2,
item_anything_wand,Anything Wand,item,5,
item_artifact,Artifacts and Relics,item,20,gatekeeper|wealth_sink
item_axe_hurling,Axe of Hurling,item,2,
item_bag_devouring,Bag of Devouring,item,1,
item_bag_holding,Bag of Holding,item,4,
item_bag_transmuting,Bag of Transmuting,item,4,
item_bag_tricks,Bag of Tricks,item,2,
item_bard_instrument,Bardic Instruments,item,5,
item_book,Books Librams and Tomes,item,1,
item_book_infinite_spells,Book of Infinite Spells,item,6,
item_book_vile_darkness,Book of Vile Darkness,item,5,time_sink
item_boots_elvenkind,Boots of Elvenkind,item,1,
item_boots_north,Boots of the North,item,2,
item_boots_varied_tracks,Boots of Varied Tracks,item,3,
item_boots_winged,Winged Boots,item,5,
item_bracers_brachiation,Bracers of Brachiation,item,1,
item_bracers_defenselessness,Bracers of Defenselessness,item,5,
item_brazier_fire,Brazier Commanding Fire Elementals,item,3,
item_brazier_sleep,Brazier of Sleep Smoke,item,5,
item_brew_potion,Concocting Potions,item,8,consumer|time_sink
item_brooch_shielding,Brooch of Shielding,item,3,
item_broom_animated_attack,Broom of Animated Attack,item,2,
item_broom_flying,Broom of Flying,item,4,
item_buckle_knife,Buckle Knife,item,1,
item_buckler_wand,Buckler Wand,item,5,
item_carpet_flying,Carpet of Flying,item,4,
item_cloak_arachnidia,Cloak of Arachnidia,item,2,
item_cloak_displacement,Cloak of Displacement,item,2,
item_cloak_elvenkind,Cloak of Elvenkind,item,6,
item_cloak_manta,Cloak of the Manta Ray,item,6,
item_command_word,Command Word,item,14,gatekeeper
item_courser,Courser,item,2,
item_crown_might,Crown of Might,item,3,
item_crystal_hypnosis,Crystal Hypnosis Ball,item,7,
item_cube_force,Cube of Force,item,5,
item_cyclocone,Cyclocone,item,1,
item_deck_illusions,Deck of Illusions,item,5,
item_deck_many_things,Deck of Many Things,item,20,advancement_currency|modifier_source|trigger_source
item_delusion_potion,Delusion Potion,item,1,
item_egg_reason,Egg of Reason,item,9,
item_egg_shattering,Egg of Shattering,item,1,
item_elixir_health,Elixir of Health,item,8,override_source
item_elixir_life,Elixir of Life,item,5,time_sink
item_elixir_madness,Elixir of Madness,item,3,
item_elixir_youth,Elixir of Youth,item,3,
item_enchant,Enchanting Items,item,12,consumer|gated_privilege|time_sink|wealth_sink
item_esp_device,ESP Device,item,1,
item_eyes_charming,Eyes of Charming,item,3,
item_eyes_eagle,Eyes of the Eagle,item,2,
item_eyes_minute_seeing,Eyes of Minute Seeing,item,2,
item_eyes_petrification,Eyes of Petrification,item,3,
item_figurine,Figurines of Wondrous Power,item,4,
item_flask_curses,Flask of Curses,item,6,
item_gauntlets_dexterity,Gauntlets of Dexterity,item,6,
item_gauntlets_fumbling,Gauntlets of Fumbling,item,5,
item_gauntlets_ogre_power,Gauntlets of Ogre Power,item,2,
item_gem_insight,Gem of Insight,item,3,
item_girdle_dwarvenkind,Girdle of Dwarvenkind,item,6,
item_girdle_femininity,Girdle of Femininity/Masculinity,item,2,
item_gloves_thievery,Gloves of Thievery,item,1,
item_hand_vecna,Hand of Vecna,item,2,
item_hat_stupidity,Hat of Stupidity,item,2,
item_haversack,Heward's Handy Haversack,item,3,
item_helm_brilliance,Helm of Brilliance,item,7,
item_helm_languages,Helm of Comprehending Languages,item,4,
item_helm_opposite_alignment,Helm of Opposite Alignment,item,3,
item_helm_telepathy,Helm of Telepathy,item,2,
item_herb_belladonna,Belladonna,item,3,
item_horn_fog,Horn of Fog,item,2,
item_horn_goodness_evil,Horn of Goodness/Evil,item,2,
item_horn_tritons,Horn of the Tritons,item,6,
item_horn_valhalla,Horn of Valhalla,item,4,
item_javelin_piercing,Javelin of Piercing,item,4,
item_jewel_attacks,Jewel of Attacks,item,5,
item_jewel_flawlessness,Jewel of Flawlessness,item,2,
item_keoghtoms_ointment,Keoghtom's Ointment,item,3,
item_kuroths_quill,Kuroth's Quill,item,1,
item_mace_cuthbert,Mace of Cuthbert,item,5,
item_mace_disruption,Mace of Disruption,item,5,
item_magic_armor,Magic Armor,item,19,advancement_currency|modifier_source
item_magic_dart,Magic Dart,item,3,
item_magic_item,Magic Device,item,65,advancement_currency|aggregator|gated_privilege|modifier_source|override_source|trigger_source
item_magic_quarterstaff,Magic Quarterstaff,item,1,
item_magic_weapon,Magic Weapon,item,62,gated_privilege|modifier_source
item_mantle_celestian,Mantle of Celestian,item,1,
item_manual_pilfering,Manual of Stealthy Pilfering,item,6,
item_mattock_titans,Mattock of the Titans,item,2,
item_mind_bar,Mind Bar,item,1,
item_necklace_prayer_beads,Necklace of Prayer Beads,item,7,
item_nonstandard,Non-Standard Magic Items,item,4,
item_oil_acid_resistance,Oil of Acid Resistance,item,1,
item_oil_elemental_invuln,Oil of Elemental Invulnerability,item,1,
item_oil_fiery_burning,Oil of Fiery Burning,item,2,
item_oil_impact,Oil of Impact,item,1,
item_oil_sharpness,Oil of Sharpness,item,2,
item_oil_timelessness,Oil of Timelessness,item,4,
item_orb_dragonkind,Orbs of Dragonkind,item,5,
item_pearl_sirines,Pearl of the Sirines,item,1,
item_periapt_health,Periapt of Health,item,1,
item_periapt_poison,Periapt of Proof Against Poison,item,1,
item_periapt_wound,Periapt of Wound Closure,item,1,
item_philter_beauty,Philter of Beauty,item,3,
item_phylactery_attention,Phylactery of Monstrous Attention,item,5,
item_phylactery_faithfulness,Phylactery of Faithfulness,item,1,
item_phylactery_long_years,Phylactery of Long Years,item,3,
item_pipes_of_sewers,Pipes of the Sewers,item,2,
item_potion_fire_breath,Potion of Fire Breath,item,1,
item_pouch_accessibility,Pouch of Accessibility,item,3,
item_prison_zagyg,Prison of Zagyg,item,3,
item_ring,Magic Ring,item,43,gated_privilege|gatekeeper|modifier_source
item_ring_animal_friendship,Ring of Animal Friendship,item,2,
item_ring_chameleon,Ring of Chameleon Power,item,2,
item_ring_clumsiness,Ring of Clumsiness,item,6,
item_ring_faerie,Ring of Faerie,item,9,gatekeeper
item_ring_jumping,Ring of Jumping,item,1,
item_ring_mind_shielding,Ring of Mind Shielding,item,5,
item_ring_regeneration,Ring of Regeneration,item,1,
item_robe_scintillating,Robe of Scintillating Colors,item,6,
item_robe_stars,Robe of Stars,item,2,
item_robe_vermin,Robe of Vermin,item,2,
item_rod_alertness,Rod of Alertness,item,10,trigger_source
item_rod_cancellation,Rod of Cancellation,item,6,
item_rod_flailing,Rod of Flailing,item,1,
item_rod_lordly_might,Rod of Lordly Might,item,8,
item_rod_passage,Rod of Passage,item,1,
item_rod_security,Rod of Security,item,4,
item_rod_seven_parts,Rod of Seven Parts,item,6,
item_rod_staff_wand,Rods Staves and Wands,item,2,
item_saving_throw,Item Saving Throw,item,16,triggered_procedure|tuning_point
item_scarab_protection,Scarab of Protection,item,8,
item_scimitar_speed,Scimitar of Speed,item,1,
item_scribe_scroll,Scribing Scrolls,item,8,consumer|gated_privilege|time_sink|wealth_sink
item_scroll,Scroll,item,29,boundary_marker|gated_privilege|resource
item_shadow_lanthorn,Shadow Lanthorn,item,1,
item_shoes_fharlanghn,Shoes of Fharlanghn,item,8,boundary_marker
item_slippers_kicking,Slippers of Kicking,item,1,
item_spade_excavation,Spade of Colossal Excavation,item,3,
item_sphere_annihilation,Sphere of Annihilation,item,4,
item_spoon_stirring,Spoon of Stirring,item,1,
item_staff,Staff Powers,item,1,
item_staff_curing,Staff of Curing,item,4,
item_staff_magi,Staff of the Magi,item,3,
item_staff_slinging,Staff of Slinging,item,7,
item_staff_spear,Staff-Spear,item,1,
item_staff_swarming_insects,Staff of Swarming Insects,item,2,
item_staff_woodlands,Staff of the Woodlands,item,1,
item_talisman_pure_good,Talisman of Pure Good,item,3,
item_talisman_sphere,Talisman of the Sphere,item,4,
item_wand,Wand,item,23,boundary_marker|trigger_source
item_wand_defoliation,Wand of Defoliation,item,1,
item_wand_earth_stone,Wand of Earth and Stone,item,1,
item_wand_flame_extinguishing,Wand of Flame Extinguishing,item,1,
item_wand_force,Wand of Force,item,1,
item_wand_metal_command,Wand of Metal Command,item,4,
item_wand_negation,Wand of Negation,item,6,override_source
item_wand_orcus,Wand of Orcus,item,3,
item_wand_size_alteration,Wand of Size Alteration,item,4,
item_wand_steam_vapor,Wand of Steam and Vapor,item,1,
item_zagygs_flagon,Zagyg's Flowing Flagon,item,4,
magic_item_determination,Magic Items Table,magic,10,advancement_currency
magic_resistance,Magic Resistance,magic,97,accumulator|tuning_point
money_gp,Money,money,95,advancement_currency|aggregator|modifier_source|resource|tuning_point
monster_aerial_servant,Aerial Servant,monster,1,
monster_air_elemental,Air Elemental,monster,1,
monster_animal,Animals,monster,1,
monster_ant_giant,"Ant, Giant",monster,1,
monster_baalzebul_arch_devil,Baalzebul (Arch-Devil),monster,3,
monster_bandit_brigand,Bandit (Brigand),monster,1,
monster_barbed_lesser_devil,Barbed (Lesser Devil),monster,1,
monster_beetle_giant,"Beetle, Giant",monster,2,
monster_beholder,Beholder,monster,1,
monster_black_dragon_draco_causticus_sputem,Black Dragon (Draco Causticus Sputem),monster,1,
monster_boar,Boar,monster,1,
monster_bone_lesser_devil,Bone (Lesser Devil),monster,1,
monster_brass_dragon_draco_impudentus_gallus,Brass Dragon (Draco Impudentus Gallus),monster,1,
monster_chimera,Chimera,monster,1,
monster_clay_golem,Clay Golem,monster,1,
monster_copper_dragon_draco_comes_stabuli,Copper Dragon (Draco Comes Stabuli),monster,1,
monster_couatl,Couatl,monster,2,
monster_crocodile,Crocodile,monster,1,
monster_demogorgon_prince_of_demons,Demogorgon (Prince Of Demons),monster,3,
monster_demon_devil,Demons and Devils,monster,15,triggered_procedure
monster_dervish_nomad,Dervish (Nomad),monster,1,
monster_dinichthys,Dinichthys,monster,1,
monster_dispater_arch_devil,Dispater (Arch-Devil),monster,3,
monster_displacer_beast,Displacer Beast,monster,1,
monster_dog,Dog,monster,1,
monster_doppleganger,Doppleganger,monster,1,
monster_dragon,Copper Dragon Follower,monster,6,
monster_dryad,Dryad,monster,1,
monster_dwarf,Dwarf,monster,1,
monster_eel,Eel,monster,2,
monster_elemental,Elemental Creatures,monster,4,
monster_elephant,Elephant,monster,1,
monster_elf,Elf,monster,1,
monster_erinyes_lesser_devil,Erinyes (Lesser Devil),monster,1,
monster_exceptional_abilities,Exceptional Abilities,monster,1,advancement_currency
monster_flesh_golem,Flesh Golem,monster,1,
monster_frequency,Monster Frequency,monster,1,
monster_frog_giant,"Frog, Giant",monster,1,
monster_gargoyle,Gargoyle,monster,1,
monster_gelatinous_cube,Gelatinous Cube,monster,2,
monster_geryon_arch_devil,Geryon (Arch-Devil),monster,3,
monster_ghost,Ghost,monster,1,
monster_ghoul,Ghoul,monster,1,
monster_gorgon,Gorgon,monster,1,
monster_gray_ooze,Gray Ooze,monster,2,
monster_green_dragon_draco_chlorinous_nauseous_respi,Green Dragon (Draco Chlorinous Nauseous Respiratorus),monster,1,
monster_green_slime,Green Slime,monster,1,
monster_griffon,Griffon,monster,1,
monster_groaning_spirit_banshee,Groaning Spirit (Banshee),monster,2,
monster_hd,Hit Dice,monster,27,advancement_currency|wealth_sink
monster_hell_hound,Hell Hound,monster,1,
monster_hippogriff,Hippogriff,monster,1,
monster_homonculous,Homonculous,monster,1,
monster_horned_malebranche_greater_devil,Horned (Malebranche) (Greater Devil),monster,3,
monster_horse,Horse,monster,1,
monster_hyena,Hyena,monster,1,
monster_ice_greater_devil,Ice (Greater Devil),monster,3,
monster_imp,Imp,monster,1,
monster_intellect_devourer,Intellect Devourer,monster,2,
monster_intelligence,Monster Intelligence,monster,16,gatekeeper
monster_invisible_stalker,Invisible Stalker,monster,1,
monster_iron_golem,Iron Golem,monster,1,
monster_jackalwere,Jackalwere,monster,1,
monster_juiblex_the_faceless_lord,Juiblex (The Faceless Lord),monster,3,
monster_lammasu,Lammasu,monster,1,
monster_lamprey,Lamprey,monster,1,
monster_lich,Lichdom,monster,3,
monster_low_hit_dice,Creatures Under One Hit Die,monster,1,
monster_lycanthrope,Lycanthrope,monster,5,
monster_manes_sub_demon,Manes (Sub-Demon),monster,1,
monster_medusa,Medusa,monster,1,
monster_mind_flayer,Mind Flayer,monster,2,
monster_mold,Mold,monster,2,
monster_morkoth,Morkoth,monster,1,
monster_naga,Naga,monster,1,
monster_neo_otyugh,Neo-Otyugh,monster,1,
monster_night_hag,Night Hag,monster,1,
monster_nixie,Nixie,monster,1,
monster_nonpsionic,Non-Psionic Creatures,monster,1,
monster_nymph,Nymph,monster,1,
monster_orcus_prince_of_the_undead,Orcus (Prince Of The Undead),monster,3,
monster_pegasus,Pegasus,monster,1,
monster_peryton,Peryton,monster,1,
monster_plant,Vegetable Life,monster,2,
monster_platinum_dragon_bahamut,Platinum Dragon (Bahamut),monster,1,
monster_poison,Monster Poison,monster,2,
monster_portuguese_man_o_war_giant,"Portuguese Man-O-War, Giant",monster,1,
monster_pseudo_dragon,Pseudo-Dragon,monster,2,
monster_psionic,Psionic Monsters,monster,1,
monster_quasit,Quasit,monster,1,
monster_rakshasa,Rakshasa,monster,1,
monster_ray,Ray,monster,1,
monster_red_dragon_draco_conflagratio_horriblis,Red Dragon (Draco Conflagratio Horriblis),monster,1,
monster_regeneration,Regeneration,monster,1,
monster_remorhaz,Remorhaz,monster,1,
monster_rhinoceros,Rhinoceros,monster,1,
monster_roper,Roper,monster,2,
monster_salamander,Salamander,monster,1,
monster_satyr,Satyr,monster,1,
monster_scorpion_giant,"Scorpion, Giant",monster,1,
monster_sea_hag,Sea Hag,monster,1,
monster_shadow,Shadow,monster,2,
monster_shambling_mound,Shambling Mound,monster,1,
monster_shark,Shark,monster,1,
monster_shedu,Shedu,monster,1,
monster_size,Opponent Size,monster,12,
monster_slithering_tracker,Slithering Tracker,monster,1,
monster_snake_giant,"Snake, Giant",monster,2,
monster_special,Special Creatures,monster,36,boundary_marker|gated_privilege
monster_special_abilities,Special Abilities,monster,1,advancement_currency
monster_spectre,Spectre,monster,3,
monster_sphinx,Sphinx,monster,1,
monster_spider,Spider,monster,1,
monster_stag,Stag,monster,1,
monster_stone_golem,Stone Golem,monster,1,
monster_su_monster,Su-Monster,monster,1,
monster_succubus,Succubus,monster,4,
monster_surprise,Monster Surprise Rating,monster,1,
monster_sylph,Sylph,monster,1,
monster_thought_eater,Thought Eater,monster,1,
monster_tiger,Tiger,monster,1,
monster_titan,Titan,monster,2,
monster_toad_giant,"Toad, Giant",monster,1,
monster_triton,Triton,monster,2,
monster_troll,Troll,monster,1,
monster_turtle,Turtle,monster,1,
monster_type_i_vrock,Type I (Vrock),monster,1,
monster_type_ii_hezrou,Type Ii (Hezrou),monster,2,
monster_type_iii_glabrezu,Type Iii (Glabrezu),monster,2,
monster_type_v_marilith_etc,"Type V (Marilith, Etc.)",monster,3,
monster_type_vi_balor_etc,"Type Vi (Balor, Etc.)",monster,3,
monster_undead,Undead,monster,32,boundary_marker|triggered_procedure
monster_unicorn,Unicorn,monster,4,
monster_vampire,Vampire,monster,3,
monster_wasp_giant,"Wasp, Giant",monster,1,
monster_water_elemental,Water Elemental,monster,1,
monster_werebear,Werebear,monster,1,
monster_wereboar,Wereboar,monster,2,
monster_wererat,Wererat,monster,2,
monster_weretiger,Weretiger,monster,1,
monster_werewolf,Werewolf,monster,1,
monster_white_dragon_draco_rigidus_frigidus,White Dragon (Draco Rigidus Frigidus),monster,1,
monster_wight,Wight,monster,3,
monster_will_o_the_wisp,Will-O-(The)-Wisp,monster,1,
monster_wind_walker,Wind Walker,monster,1,
monster_wolf,Wolf,monster,1,
monster_wolverine,Wolverine,monster,1,
monster_wraith,Wraith,monster,3,
monster_wyvern,Wyvern,monster,1,
monster_yeenoghu_demon_lord_of_gnolls,Yeenoghu (Demon Lord Of Gnolls),monster,3,
monster_zombie,Zombie,monster,1,
potion_esp,Potion of ESP,potion,1,
potion_extra_healing,Extra-Healing,potion,3,
potion_fire_resistance,Fire Resistance,potion,5,
potion_flying,Potion of Flying,potion,1,
potion_gaseous_form,Gaseous Form,potion,3,
potion_longevity,Potion of Longevity,potion,3,override_source
potion_miscibility,Potion Miscibility,potion,4,
potion_persuasiveness,Philter of Persuasiveness,potion,2,
potion_philter_love,Philter of Love,potion,3,
potion_plant_control,Plant Control,potion,3,
potion_poison,Poison Potion,potion,6,
potion_speed,Potion of Speed,potion,4,
prof_nonproficiency_penalty,Non-Proficiency Penalty,prof,5,
prof_specialization,Weapon Specialization,prof,11,boundary_marker
prof_weapon,Weapon Proficiency,prof,13,resource
psi_ability,Psionic Ability,psi,12,gated_privilege
psi_animal_telepathy,Animal Telepathy,psi,4,
psi_astral_projection,Astral Projection,psi,4,
psi_attack_blast,Psionic Blast,psi,3,
psi_attack_ego_whip,Ego Whip,psi,1,
psi_attack_id_insinuation,Id Insinuation,psi,1,
psi_attack_mind_thrust,Mind Thrust,psi,1,
psi_attack_modes,Psionic Attack,psi,15,
psi_attack_psychic_crush,Psychic Crush,psi,2,
psi_aura_alteration,Aura Alteration,psi,5,
psi_body_control,Body Control,psi,4,
psi_body_equilibrium,Body Equilibrium,psi,2,
psi_body_weaponry,Body Weaponry,psi,7,
psi_cell_adjustment,Cell Adjustment,psi,5,
psi_clairaudience,Clairaudience,psi,1,
psi_clairvoyance,Clairvoyance,psi,2,
psi_combat,Psionic Combat,psi,12,consumer
psi_defense_intellect_fortress,Intellect Fortress,psi,3,
psi_defense_mental_barrier,Mental Barrier,psi,1,
psi_defense_mind_blank,Mind Blank,psi,2,
psi_defense_modes,Defense Mode,psi,11,
psi_defense_thought_shield,Thought Shield,psi,1,
psi_defense_tower_iron_will,Tower of Iron Will,psi,3,
psi_detection_good_evil,Detection of Good or Evil,psi,5,
psi_detection_magic,Detection of Magic,psi,3,
psi_dimension_door,Dimension Door,psi,1,
psi_dimension_walk,Dimension Walk,psi,4,
psi_disciplines,Psionic Discipline,psi,9,
psi_domination,Domination,psi,7,consumer
psi_empathy,Empathy,psi,6,
psi_energy_control,Energy Control,psi,2,
psi_esp,ESP,psi,4,
psi_etherealness,Etherealness,psi,4,
psi_expansion,Expansion,psi,7,
psi_hypnosis,Hypnosis,psi,8,
psi_invisibility,Invisibility,psi,5,
psi_levitation,Levitation,psi,3,
psi_major_sciences,Major Sciences,psi,2,
psi_mass_domination,Mass Domination,psi,9,
psi_mind_bar,Mind Bar,psi,16,boundary_marker
psi_mind_over_body,Mind Over Body,psi,4,
psi_minor_devotions,Minor Devotions,psi,2,
psi_molecular_agitation,Molecular Agitation,psi,4,
psi_molecular_manipulation,Molecular Manipulation,psi,3,
psi_molecular_rearrangement,Molecular Rearrangement,psi,4,
psi_multiple_operations,Multiple Psionic Operations,psi,2,
psi_object_reading,Object Reading,psi,4,
psi_precognition,Precognition,psi,6,
psi_probability_travel,Probability Travel,psi,5,
psi_range,Psionic Range,psi,2,
psi_recovery,Psionic Strength Recovery,psi,3,
psi_reduction,Reduction,psi,3,
psi_sensitivity_psychic_impressions,Sensitivity to Psychic Impressions,psi,2,
psi_series,Series Linking,psi,3,
psi_shape_alteration,Shape Alteration,psi,6,
psi_strength_points,Psionic Strength,psi,64,resource|sink
psi_suspend_animation,Suspend Animation,psi,4,
psi_telekinesis,Telekinesis,psi,3,
psi_telempathic_projection,Telempathic Projection,psi,4,
psi_telepathic_projection,Telepathic Projection,psi,10,
psi_telepathy,Telepathy,psi,7,
psi_teleportation,Teleportation,psi,2,
race_any,Race,race,49,gated_privilege|gatekeeper|modifier_source|wealth_sink
race_demihuman,Demihuman,race,2,
race_dwarf,Dwarf,race,45,boundary_marker|gatekeeper|modifier_source|wealth_sink
race_elf,Elf,race,41,boundary_marker|gated_privilege|gatekeeper|modifier_source|wealth_sink
race_gnome,Gnome,race,30,boundary_marker|gated_privilege|gatekeeper|index|modifier_source
race_half_elf,Half-Elf,race,18,boundary_marker|gated_privilege
race_half_orc,Half-Orc,race,27,boundary_marker|index|modifier_source
race_halfling,Halfling,race,31,boundary_marker|gated_privilege|modifier_source
race_human,Human,race,3,
race_infravision,Infravision,race,28,accumulator|boundary_marker|gated_privilege
race_subrace,Sub-Race,race,13,modifier_source
rule_ability_generation,Ability Score Generation,rule,11,
rule_ability_maximum,Ability Maximum,rule,1,
rule_accessibility,Item Accessibility,rule,1,
rule_adventuring_involvement,Adventuring Involvement,rule,2,
rule_aerial_travel,Aerial Travel,rule,5,gated_privilege
rule_aging,Aging,rule,18,
rule_air_supply,Air Consumption,rule,1,
rule_alcohol,Alcohol,rule,12,modifier_source
rule_alignment_change,Changing Alignment,rule,8,
