id,label,kind,degree,core_degree,in_degree,out_degree,roles
abil_intelligence,Intelligence,abil,48,39,9,39,gatekeeper|modifier_source|tuning_point
rule_planar_travel,Ethereal Plane,rule,48,27,33,15,boundary_marker|gated_privilege|triggered_procedure
rule_spell_casting,Casting a Spell,rule,46,34,38,8,consumer|gated_privilege|resource
spell_cantrip,Cantrip,spell,46,0,10,36,consumer|gated_privilege|modifier_source|time_sink|trigger_source
race_dwarf,Dwarf,race,45,41,5,40,boundary_marker|gatekeeper|modifier_source|wealth_sink
cbt_encounter_reactions,Encounter Reactions,cbt,45,32,41,4,accumulator|aggregator|gated_privilege|triggered_procedure|tuning_point
cbt_surprise,Surprise,cbt,44,37,26,18,gatekeeper|override_source|tuning_point
item_ring,Magic Ring,item,43,40,13,30,gated_privilege|gatekeeper|modifier_source
hench_loyalty,Loyalty Base,hench,42,40,32,10,aggregator|tuning_point
abil_constitution,Constitution,abil,41,36,18,23,gatekeeper|modifier_source|resource|tuning_point
sys_armor,Armor,sys,40,27,18,22,gated_privilege|logistical_burden|modifier_source|wealth_sink
race_elf,Elf,race,39,33,8,31,boundary_marker|gated_privilege|modifier_source|wealth_sink
hench_henchmen,Henchmen,hench,38,36,20,18,consumer|gated_privilege|tuning_point|wealth_sink
cbt_armor_class,Armor Class,cbt,37,24,29,8,tuning_point
death_character,Death,death,36,25,33,3,accumulator|triggered_procedure
rule_lycanthropy,Lycanthropy,rule,35,34,18,17,trigger_source|triggered_procedure
abil_charisma,Charisma,abil,35,26,15,20,gatekeeper|modifier_source|tuning_point
save_spell,Spell,save,34,23,33,1,accumulator|boundary_marker|triggered_procedure|tuning_point
abil_wisdom,Wisdom,abil,33,26,9,24,gatekeeper|modifier_source|tuning_point
monster_special,Special Creatures,monster,33,23,14,19,boundary_marker|gated_privilege
cbt_morale,Morale,cbt,32,29,25,7,aggregator|trigger_source|triggered_procedure|tuning_point
class_paladin,Paladin,class,31,28,20,11,gated_privilege|trigger_source
race_halfling,Halfling,race,31,30,5,26,boundary_marker|gated_privilege|modifier_source
cbt_initiative,Initiative,cbt,31,22,24,7,aggregator|gatekeeper|tuning_point
rule_item_destruction,Item Destruction,rule,31,21,28,3,accumulator|advancement_currency|triggered_procedure
race_gnome,Gnome,race,30,26,4,26,boundary_marker|gated_privilege|gatekeeper|index|modifier_source
cbt_attack_matrix,Attack Matrix,cbt,30,27,24,6,accumulator|aggregator|resolution_machinery
enc_encumbrance,Encumbrance,enc,30,25,25,5,accumulator|aggregator|boundary_marker|tuning_point
sys_treasure,Treasure,sys,30,29,17,13,advancement_currency|aggregator|logistical_burden|resource|sink
rule_npc_characteristics,NPC Personality Traits,rule,30,30,14,16,tuning_point
class_cleric,Cleric,class,29,25,13,16,gated_privilege|gatekeeper
turn_undead,Turning Undead,turn,29,28,17,12,trigger_source|triggered_procedure
sys_psionics,Psionics,sys,29,26,29,0,accumulator|resolution_machinery
item_scroll,Scroll,item,29,14,9,20,boundary_marker|gated_privilege|resource
monster_undead,Undead,monster,28,18,19,9,boundary_marker|triggered_procedure
cursed_item,Cursed Sword,cursed,28,21,25,3,accumulator
race_half_orc,Half-Orc,race,27,25,4,23,boundary_marker|index|modifier_source
rule_languages,Languages,rule,27,23,19,8,gated_privilege|gatekeeper
class_followers,Followers,class,27,27,17,10,aggregator|consumer|gated_privilege|wealth_sink
cbt_pursuit_evasion,Pursuit and Evasion,cbt,27,27,23,4,accumulator|gated_privilege|tuning_point
rule_cleric_spells,Cleric Spells,rule,26,21,18,8,consumer|gated_privilege|tuning_point|wealth_sink
monster_hd,Hit Dice,monster,26,19,8,18,advancement_currency|wealth_sink
class_monk,Monk,class,25,25,11,14,boundary_marker|gated_privilege
comeliness,Comeliness,comeliness,25,2,16,9,tuning_point
campaign_social_class,Social Class and Rank,campaign,25,17,13,12,gated_privilege
rule_declared_action,Declared Action,rule,25,13,16,9,gated_privilege|override_source
rule_terrain,Terrain,rule,24,18,8,16,gatekeeper|modifier_source|resolution_machinery
class_magic_user,Magic-User,class,24,23,10,14,gated_privilege|gatekeeper
class_assassin,Assassin,class,24,23,10,14,gated_privilege|gatekeeper
time_segment_round_turn,Round and Segment,time,24,18,16,8,resource|sink
race_infravision,Infravision,race,24,15,20,4,accumulator|gated_privilege
class_druid,Druid,class,23,14,12,11,consumer|gated_privilege
cbt_missile,Missile Fire,cbt,23,13,22,1,accumulator|boundary_marker|gated_privilege|tuning_point
wpn_stats,Weapon Statistics,wpn,23,2,8,15,boundary_marker
item_wand,Wand,item,23,20,9,14,boundary_marker|trigger_source
sys_ability_scores,Ability Scores,sys,22,16,19,3,tuning_point
rule_ceremony,Druidic Ceremony,rule,22,0,5,17,boundary_marker
tbl_age_categories,Age Categories Table,tbl,21,20,5,16,modifier_source|resolution_machinery
rule_disease,Disease,rule,21,11,15,6,time_sink|triggered_procedure
rule_multiclass,Multi-Class,rule,21,16,10,11,gated_privilege|override_source
exp_level_loss,Level Loss,exp,21,19,16,5,triggered_procedure
class_fighter,Fighter,class,20,14,10,10,gated_privilege|gatekeeper
tbl_lycanthropy_change,Lycanthropy Change Table,tbl,20,20,16,4,gated_privilege|triggered_procedure
thief_skills,Thief Skills,thief,20,15,20,0,accumulator|gated_privilege|tuning_point
class_bard,Bard,class,20,0,14,6,gated_privilege
class_cavalier,Cavalier,class,20,0,11,9,gated_privilege
item_artifact,Artifacts and Relics,item,20,0,3,17,gatekeeper|wealth_sink
item_deck_many_things,Deck of Many Things,item,20,20,3,17,advancement_currency|modifier_source|trigger_source
rule_insanity,Insanity,rule,19,15,12,7,triggered_procedure
rule_player_character,Player Character,rule,19,13,15,4,boundary_marker
tbl_gem_value,Base Value of Gems,tbl,19,15,16,3,advancement_currency|resource|sink|tuning_point
gen_random_dungeon,Random Dungeon Generation,gen,19,19,4,15,trigger_source
rule_aging,Aging,rule,18,12,11,7,
rule_spell_memorization,Spell Memorization,rule,18,13,14,4,consumer|gated_privilege|resource|time_sink
rule_siege_engine,Siege Engines,rule,18,17,8,10,override_source|resolution_machinery|tuning_point
sys_experience,Experience Points,sys,17,14,17,0,boundary_marker|tuning_point
race_half_elf,Half-Elf,race,17,17,4,13,boundary_marker|gated_privilege
class_thief,Thief,class,17,13,7,10,gatekeeper
item_magic_armor,Magic Armor,item,17,15,1,16,advancement_currency|modifier_source
class_thief_acrobat,Thief-Acrobat,class,17,0,5,12,gated_privilege
hench_nonhuman_troops,Non-Human Troops,hench,17,17,12,5,gated_privilege|wealth_sink
rule_body_system,Area of Body Affected,rule,17,17,2,15,modifier_source|trigger_source
class_ranger,Ranger,class,16,12,12,4,gated_privilege
rule_spell_book,Spell Book,rule,16,14,8,8,consumer|gated_privilege
dex_defensive_adj,Dexterity Defensive Adjustment,dex,16,14,14,2,
rule_light,Light,rule,16,12,8,8,aggregator|override_source
ex_light_vision,Vision,ex,16,12,14,2,gated_privilege|triggered_procedure
monster_intelligence,Monster Intelligence,monster,16,12,0,16,gatekeeper
item_saving_throw,Item Saving Throw,item,16,12,13,3,triggered_procedure|tuning_point
campaign_construction,Construction,campaign,16,15,10,6,consumer|gated_privilege|time_sink|wealth_sink
tbl_minor_malevolent,Minor Malevolent Effects,tbl,16,15,3,13,modifier_source
tbl_traps,Trap List,tbl,16,13,4,12,resolution_machinery|trigger_source
rule_stronghold,Stronghold,rule,15,14,8,7,gated_privilege|gatekeeper
campaign_territory,Territory,campaign,15,13,6,9,gated_privilege|wealth_sink
cbt_attacks_per_round,Attacks Per Melee Round,cbt,15,12,11,4,tuning_point
class_barbarian,Barbarian,class,15,0,4,11,boundary_marker
tbl_height_weight,Height and Weight Tables,tbl,15,12,5,10,logistical_burden
rule_dice_probability,Dice Probability Curves,rule,15,15,12,3,resolution_machinery
rule_information,Information,rule,15,12,14,1,gated_privilege
rule_loyalty_check,Loyalty Check,rule,15,15,10,5,trigger_source|triggered_procedure
ex_falling,Falling Damage,ex,15,7,14,1,triggered_procedure
monster_demon_devil,Demons and Devils,monster,14,12,11,3,triggered_procedure
rule_disguise,Disguise,rule,14,9,10,4,tuning_point
rule_shield,Shield,rule,14,8,5,9,logistical_burden
item_command_word,Command Word,item,14,13,7,7,gatekeeper
rule_setting_traps,Setting Traps,rule,14,14,6,8,gated_privilege|wealth_sink
rule_sage_chance_to_know,Chance of Knowing,rule,14,13,7,7,consumer|time_sink|wealth_sink
rule_fear,Fear or Religious Awe,rule,14,7,11,3,triggered_procedure
tbl_prime_powers,Prime Powers,tbl,14,11,3,11,trigger_source
cbt_subdue,Striking to Subdue,cbt,14,5,8,6,gated_privilege
rule_immobile,Total Immobility,rule,14,10,10,4,triggered_procedure
rule_charges,Charges,rule,14,6,12,2,resource|sink
spell_taunt,Itching,spell,14,0,5,9,
class_illusionist,Illusionist,class,13,10,10,3,gated_privilege
race_subrace,Sub-Race,race,13,3,0,13,modifier_source
rule_poison_use,Use of Poison,rule,13,13,7,6,gated_privilege
rule_alignment_languages,Alignment Languages,rule,13,13,7,6,gated_privilege
rule_stun,Stunning Blow,rule,13,13,6,7,triggered_procedure
rule_distraction,Distraction,rule,13,10,9,4,triggered_procedure
rule_character_actions,Character Actions,rule,13,12,6,7,
rule_scrying,Crystal Balls and Scrying,rule,13,10,10,3,
rule_secondary_skills,Secondary Skills,rule,13,0,6,7,gatekeeper
rule_spying,Spying,rule,13,13,6,7,gated_privilege|time_sink
rule_underwater,Underwater Adventures,rule,13,7,2,11,modifier_source
rule_mount,Mount,rule,13,5,6,7,gated_privilege|wealth_sink
save_breath,Breath Weapon,save,13,12,12,1,triggered_procedure
rule_quest,Journey to Claim the Steed,rule,13,10,6,7,time_sink|triggered_procedure
cbt_overbear,Overbearing,cbt,13,13,7,6,gated_privilege
rule_protection_circle,Circle of Protection,rule,13,12,6,7,
rule_polearm,Pole Arms,rule,13,0,4,9,
spell_wish,Wish,spell,12,10,3,9,override_source
rule_spell_level,Spell Level,rule,12,11,1,11,time_sink
save_petrify,Saving Throw vs Petrification,save,12,9,9,3,triggered_procedure
psi_attack_modes,Psionic Attack,psi,12,0,7,5,
monster_size,Opponent Size,monster,12,7,2,10,
spell_dispel_magic,Dispel Magic,spell,12,7,2,10,override_source
rule_alcohol,Alcohol,rule,12,11,2,10,modifier_source
tbl_sage_fields,Sage Fields of Study,tbl,12,12,6,6,gated_privilege
rule_unconsciousness,Unconsciousness,rule,12,7,8,4,
tbl_sage_special_categories,Special Knowledge Categories,tbl,12,12,2,10,gatekeeper
rule_system_shock,System Shock Survival,rule,11,11,11,0,triggered_procedure
rule_death_age,Death Due to Age,rule,11,11,6,5,override_source
spell_raise_dead,Raise Dead,spell,11,10,6,5,resolution_machinery|wealth_sink
spell_cure_disease,Cure Disease,spell,11,10,6,5,override_source
rule_ability_generation,Ability Score Generation,rule,11,10,8,3,
item_enchant,Enchanting Items,item,11,10,7,4,consumer|gated_privilege|time_sink|wealth_sink
thief_find_remove_traps,Find/Remove Traps,thief,11,9,5,6,
align_change,Changing Alignment,align,11,10,3,8,trigger_source
prof_weapon,Weapon Proficiency,prof,11,5,9,2,resource
wpn_range,Weapon Range,wpn,11,6,7,4,
ex_mapping,Mapping,ex,11,9,10,1,
cbt_encounter_distance,Encounter Distance,cbt,11,11,3,8,
rule_holy_water,Holy Water,rule,11,11,4,7,
xp_monster,Experience Point Value of Monsters,xp,11,11,7,4,advancement_currency|aggregator
prof_specialization,Weapon Specialization,prof,11,0,5,6,boundary_marker
campaign_settlement,Town or City,campaign,11,10,1,10,modifier_source
hench_sage,Sage,hench,11,10,4,7,gatekeeper
gen_wandering_monsters,Wandering Monster Check,gen,11,11,7,4,consumer|gated_privilege
xp_magic_items,Experience Value of Magic Items,xp,11,7,10,1,aggregator
tbl_npc_magic_items,Chance Per Level For Magic Item,tbl,11,11,6,5,
tbl_info_discovery,Information Discovery Time and Cost,tbl,11,11,6,5,consumer|time_sink|wealth_sink
rule_spy_discovery,Chance of Discovery,rule,11,11,7,4,
spell_sleep,Sleep,spell,11,11,6,5,
fatigue,Exhaustion,fatigue,11,10,6,5,time_sink
spell_detect_magic,Detect Magic,spell,11,3,3,8,
spell_chromatic_orb,Chromatic Orb,spell,11,0,2,9,trigger_source
spell_enthrall,Enthrall,spell,11,0,6,5,
spell_haste,Haste,spell,10,10,2,8,
tbl_chance_disease,Chance of Contracting Disease,tbl,10,10,8,2,tuning_point
spell_remove_curse,Remove Curse,spell,10,10,2,8,override_source
tbl_racial_preferences,Racial Preferences Table,tbl,10,8,5,5,
hench_hirelings,Hirelings,hench,10,10,7,3,wealth_sink
rule_magic_user_spells,Magic-User Spells,rule,10,7,7,3,
thief_open_locks,Open Locks,thief,10,9,6,4,
thief_read_languages,Read Languages,thief,10,10,5,5,
psi_combat,Psionic Combat,psi,10,0,6,4,consumer
rule_rest,Rest and Nourishment,rule,10,6,6,4,gated_privilege|time_sink
cbt_flee,Fleeing,cbt,10,9,8,2,gated_privilege|triggered_procedure
training,Training,training,10,10,6,4,consumer|time_sink|wealth_sink
rule_tutor,Tutor,rule,10,7,3,7,gatekeeper
rule_detection,Detection,rule,10,7,8,2,gated_privilege
xp_treasure,Experience for Treasure,xp,10,10,9,1,aggregator
rule_waterborne_travel,Waterborne Adventures,rule,10,9,8,2,gated_privilege
rule_disease_severity,Severity,rule,10,10,5,5,time_sink
tbl_treasure_map,Map Table,tbl,10,9,6,4,aggregator
magic_item_determination,Magic Items Table,magic,10,7,3,7,advancement_currency
rule_tricks,Tricks,rule,10,10,2,8,trigger_source
item_rod_alertness,Rod of Alertness,item,10,0,1,9,trigger_source
spell_dream,Dream,spell,10,0,3,7,
tbl_parasite,Parasitic Infestation Table,tbl,9,8,5,4,
rule_chance_know_spell,Chance to Know Each Listed Spell,rule,9,5,6,3,resolution_machinery
spell_components,Spell Components,spell,9,9,7,2,
thief_move_silently,Move Silently,thief,9,7,5,4,
thief_backstab,Back Stab,thief,9,9,5,4,
rule_invisibility,Invisibility,rule,9,9,1,8,
rule_negotiation,Negotiation,rule,9,9,5,4,wealth_sink
psi_ability,Psionic Ability,psi,9,0,7,2,gated_privilege
tbl_followers_ranger,Rangers Followers Table,tbl,9,9,2,7,
tbl_spy_failure,Spy Failure Table,tbl,9,9,6,3,
hench_mercenary,Mercenary Soldier,hench,9,9,5,4,
hench_engineer,Engineer,hench,9,9,3,6,gatekeeper|wealth_sink
rule_vessel,Vessel Class,rule,9,9,3,6,
campaign_climate,Climate and Ecology,campaign,9,7,3,6,resolution_machinery
campaign_taxation,Taxation,campaign,9,9,5,4,consumer|wealth_sink
rule_player_knowledge,Player Character Knowledge,rule,9,6,5,4,
rule_herbs,Herbs,rule,9,9,2,7,
rule_lycanthropy_cure_regimen,Herbal Cure Regimen,rule,9,9,4,5,consumer|time_sink|wealth_sink
rule_recruitment_method,Recruitment Method,rule,9,9,2,7,wealth_sink
rule_henchman_acceptance,Acceptance Interest,rule,9,9,7,2,tuning_point
rule_party_creation,Creating a Party,rule,9,9,6,3,
item_egg_reason,Egg of Reason,item,9,0,5,4,
spell_wraithform,Wraithform,spell,9,0,4,5,
item_ring_faerie,Ring of Faerie,item,9,0,2,7,gatekeeper
spell_leomunds_belabourment,Leomund's Lamentable Belabourment,spell,9,0,4,5,trigger_source
spell_polymorph_other,Polymorph Others,spell,8,6,2,6,
rule_lifespan,Lifespan,rule,8,8,8,0,resource|sink
rule_provisions,Food and Water Quality,rule,8,4,6,2,gated_privilege
spell_monster_summoning,Monster Summoning,spell,8,8,4,4,
str_bend_bars,Bend Bars/Lift Gates,str,8,6,4,4,
rule_magic_item_use,Magic Item Use,rule,8,8,8,0,gated_privilege
item_brew_potion,Concocting Potions,item,8,8,5,3,consumer|time_sink
thief_pick_pockets,Pick Pockets,thief,8,7,4,4,
thief_climb_walls,Climb Walls,thief,8,5,6,2,
cbt_rear_attack,Rear Attack,cbt,8,7,4,4,
spell_knock,Knock,spell,8,8,1,7,
ex_secret_doors,Secret Doors,ex,8,7,8,0,gated_privilege
rule_ultravision,Ultravision,rule,8,2,4,4,
spell_permanency,Permanency,spell,8,2,2,6,
rule_communication,Communication,rule,8,7,5,3,
spell_disruption,Spell Disruption,spell,8,5,6,2,triggered_procedure
tbl_poisons,Poisons Table,tbl,8,8,1,7,consumer|wealth_sink
rule_gem_properties,Gem Magical Properties,rule,8,8,2,6,
rule_gem_variation,Increase or Decrease of Worth,rule,8,8,4,4,
hench_ship_crew,Ship Crew,hench,8,8,1,7,
hench_ship_master,Ship Master,hench,8,8,5,3,
rule_sex,Character Sex,rule,8,7,3,5,
rule_npc_magic_user,NPC Magic-User,rule,8,8,3,5,consumer|wealth_sink
rule_concealment,Concealment,rule,8,3,7,1,
rule_prone,Prone or Helpless Opponent,rule,8,3,5,3,triggered_procedure
item_rod_lordly_might,Rod of Lordly Might,item,8,8,1,7,
item_scarab_protection,Scarab of Protection,item,8,8,2,6,
rule_genre_conversion,Genre Conversion,rule,8,0,2,6,
spell_crystalbrittle,Crystalbrittle,spell,8,0,4,4,
item_elixir_health,Elixir of Health,item,8,0,1,7,override_source
spell_contingency,Contingency,spell,8,0,4,4,
item_shoes_fharlanghn,Shoes of Fharlanghn,item,8,0,2,6,boundary_marker
spell_leomunds_shelter,Leomund's Secure Shelter,spell,8,0,5,3,
rule_temperature,Heating and Cooling,rule,8,0,6,2,
spell_binding,Binding,spell,8,0,4,4,
str_exceptional,Exceptional Strength,str,7,6,3,4,
tbl_adjust_occurrence,Adjustments to Occurrence and Severity,tbl,7,7,5,2,tuning_point
spell_conjure_animals,Conjure Animals,spell,7,7,2,5,
str_open_doors,Open Doors,str,7,7,3,4,time_sink
rule_noise,Noise,rule,7,4,5,2,triggered_procedure
rule_spell_failure,Chance of Spell Failure,rule,7,4,5,2,triggered_procedure
item_scribe_scroll,Scribing Scrolls,item,7,7,5,2,consumer|time_sink|wealth_sink
thief_hide_in_shadows,Hide in Shadows,thief,7,6,6,1,
rule_open_hand_combat,Open Hand Combat,rule,7,6,2,5,
rule_light_source,Light Source,rule,7,4,3,4,consumer|time_sink
rule_oil,Oil,rule,7,7,1,6,
wpn_speed_factor,Weapon Speed Factor,wpn,7,6,1,6,
cbt_grenade_missile,Grenade-Like Missiles,cbt,7,6,5,2,
rule_npc_generation,NPC Ability Generation,rule,7,7,5,2,
hench_armorer,Armorer,hench,7,7,4,3,consumer|time_sink|wealth_sink
hench_jeweler,Jeweler-Gemcutter,hench,7,7,3,4,time_sink
rule_hp_recovery,Hit Point Recovery,rule,7,4,7,0,
rule_wind,Wind Force,rule,7,6,0,7,
rule_water_breathing,Breathing,rule,7,6,7,0,gated_privilege
campaign_peasants,Peasants Serfs and Slaves,campaign,7,7,2,5,
rule_spell_research,Spell Research,rule,7,7,4,3,consumer|gated_privilege|time_sink|wealth_sink
tbl_major_malevolent,Major Malevolent Effects,tbl,7,6,2,5,trigger_source
tbl_side_effects,Side Effects,tbl,7,6,2,5,
gen_dungeon_level,Dungeon Level,gen,7,7,2,5,
rule_helmet,Helmet,rule,7,6,1,6,logistical_burden
rule_deity_change,Changing Deities,rule,7,7,2,5,
tbl_gemcutter_skill,Gemcutter Skill Level,tbl,7,7,3,4,
rule_pc_expenses,Player Character Expenses,rule,7,7,5,2,resource|wealth_sink
cbt_aerial,Aerial Combat,cbt,7,7,4,3,
rule_uncontrolled_fire,Uncontrolled Fire,rule,7,3,6,1,
rule_psychic_wind,Psychic Wind,rule,7,7,4,3,
item_crystal_hypnosis,Crystal Hypnosis Ball,item,7,7,2,5,
item_helm_brilliance,Helm of Brilliance,item,7,7,1,6,
item_necklace_prayer_beads,Necklace of Prayer Beads,item,7,7,2,5,
sword_ego_vs_personality,Intelligence and Ego,sword,7,7,5,2,aggregator
gen_lower_planes,Lower Planes Creature Generation,gen,7,7,1,6,
spell_cloudburst,Cloudburst,spell,7,0,3,4,override_source
item_staff_slinging,Staff of Slinging,item,7,0,1,6,
rule_generation_method_v,Method V,rule,7,0,4,3,
spell_goodberry,Goodberry,spell,7,0,2,5,
rule_barbarian_horde,Barbarian Horde,rule,7,0,6,1,time_sink
spell_magic_armor,Magic Armor,spell,7,0,4,3,
tbl_max_char_age,Maximum Character Age Table,tbl,6,6,3,3,
tbl_armor_damage_lycan,Armor Damage to Lycanthropes,tbl,6,6,4,2,
class_paladin_loss,Loss of Paladinhood,class,6,6,3,3,
tbl_assassination,Assassination Table,tbl,6,6,2,4,
wpn_length,Weapon Length,wpn,6,3,2,4,
spell_component_material,Material Component,spell,6,6,4,2,resource
abil_cha_max_henchmen,Maximum Henchmen,abil,6,6,4,2,
cbt_charge,Charging,cbt,6,5,2,4,
rule_cover,Cover,rule,6,6,2,4,
sword_intelligence,Sword Intelligence,sword,6,6,0,6,gatekeeper
sword_primary_abilities,Primary Abilities,sword,6,6,2,4,
dex_reaction_adj,Reaction/Attacking Adjustment,dex,6,6,1,5,
tbl_followers_thief,Thieves Followers Table,tbl,6,6,2,4,
hench_expert_hirelings,Specialists,hench,6,6,3,3,gated_privilege|wealth_sink
rule_question_difficulty,Question Difficulty,rule,6,6,4,2,resolution_machinery
rule_apprenticeship,Apprenticeship,rule,6,5,2,4,
rule_detection_invisibility,Detection of Invisibility,rule,6,6,5,1,resolution_machinery
save_rod_staff_wand,Rod Staff or Wand,save,6,6,6,0,
rule_treasure_placement,Placement of Monetary Treasure,rule,6,6,1,5,advancement_currency
tbl_minor_benign,Minor Benign Powers,tbl,6,5,1,5,
hench_serjeant,Serjeant,hench,6,6,3,3,wealth_sink
rule_paladin_warhorse,Paladin's Warhorse,rule,6,6,4,2,time_sink
rule_mission_category,Mission Category,rule,6,6,1,5,time_sink
tbl_assassin_spying,Assassin Spying Table,tbl,6,6,5,1,
monster_dragon,Copper Dragon Follower,monster,6,4,2,4,
rule_torture,Torture,rule,6,6,1,5,
xp_assassination,Assassination Experience,xp,6,6,5,1,
hench_blacksmith,Blacksmith,hench,6,6,4,2,wealth_sink
rule_special_ink,Magical Ink,rule,6,6,4,2,wealth_sink
potion_poison,Poison Potion,potion,6,5,2,4,
spell_levitate,Levitation,spell,6,6,2,4,
psi_defense_modes,Defense Mode,psi,6,0,2,4,
spell_esp,Psionic-Related Spells,spell,6,5,4,2,
item_rod_cancellation,Rod of Cancellation,item,6,6,2,4,
item_wand_negation,Wand of Negation,item,6,6,1,5,override_source
spell_magic_jar,Magic Jar,spell,6,4,6,0,triggered_procedure
item_book_infinite_spells,Book of Infinite Spells,item,6,6,3,3,
item_cloak_elvenkind,Cloak of Elvenkind,item,6,6,5,1,
item_cloak_manta,Cloak of the Manta Ray,item,6,6,2,4,
item_flask_curses,Flask of Curses,item,6,6,2,4,
item_gauntlets_dexterity,Gauntlets of Dexterity,item,6,6,2,4,
item_horn_tritons,Horn of the Tritons,item,6,6,1,5,
item_manual_pilfering,Manual of Stealthy Pilfering,item,6,6,3,3,
item_robe_scintillating,Robe of Scintillating Colors,item,6,6,2,4,
item_rod_seven_parts,Rod of Seven Parts,item,6,6,3,3,
rule_illusion,Illusion of High Comeliness,rule,6,0,5,1,
rule_entanglement,Entanglement,rule,6,0,4,2,
spell_melfs_minute_meteors,Melf's Minute Meteors,spell,6,0,4,2,
rule_birth,Circumstances of Birth,rule,6,0,4,2,
spell_fascinate,Fascinate,spell,6,0,4,2,resolution_machinery
spell_moonbeam,Moonbeam,spell,6,0,0,6,
spell_imbue_spell_ability,Imbue With Spell Ability,spell,6,0,3,3,
spell_heroes_feast,Heroes' Feast,spell,6,0,1,5,
item_ring_clumsiness,Ring of Clumsiness,item,6,0,2,4,
item_girdle_dwarvenkind,Girdle of Dwarvenkind,item,6,0,1,5,
tbl_disease_disorder,Disease (or Disorder) Table,tbl,5,5,2,3,
monster_lycanthrope,Lycanthrope,monster,5,5,0,5,
rule_lay_on_hands,Lay on Hands,rule,5,5,3,2,
rule_poison_detection,Poison Detection,rule,5,5,4,1,
rule_monk_kill,Killing Blow,rule,5,5,3,2,
psi_strength_points,Psionic Strength,psi,5,0,4,1,
rule_alignment_graph,Alignment Graph,rule,5,5,2,3,
rule_involuntary_change,Involuntary Change,rule,5,5,3,2,
prof_nonproficiency_penalty,Non-Proficiency Penalty,prof,5,3,4,1,
hench_experience,Henchman Experience,hench,5,5,3,2,
wpn_type_vs_ac,Armor Class Adjustment,wpn,5,0,4,1,
spell_slow,Slow,spell,5,5,2,3,
spell_atonement,Atonement,spell,5,5,0,5,override_source|wealth_sink
sys_combat,Combat,sys,5,4,5,0,
cbt_parry,Parry,cbt,5,4,3,2,
spell_casting_time,Casting Time,spell,5,3,2,3,
rule_fascinate,Fascinate,rule,5,0,2,3,
tbl_followers_assassin,Assassins Followers Table,tbl,5,5,3,2,
hench_alchemist,Alchemist,hench,5,5,1,4,wealth_sink
hench_betrayal,Betrayal,hench,5,5,5,0,
rule_aerial_travel,Aerial Travel,rule,5,4,4,1,gated_privilege
rule_xp_division,Adjustment and Division of Experience,rule,5,5,3,2,
rule_game_balance,Game Balance,rule,5,3,5,0,
rule_sage_short_term,Short-Term Sage Employment,rule,5,5,0,5,wealth_sink
hench_scribe,Scribe,hench,5,5,1,4,
rule_ground_scale,Ground Scale,rule,5,5,1,4,
tbl_char_age_nonhuman,Non-Human Character Age Table,tbl,5,5,4,1,
hench_weaponer,Weapon Maker,hench,5,5,2,3,consumer|time_sink|wealth_sink
tbl_wall_climbing,Wall Climbing Table,tbl,5,5,2,3,
